,Usia,Gender,Gaji,Jumlah Anak
91,49,L,5-10jt,2
92,48,L,5-10jt,5
93,45,L,5-10jt,2
94,49,P,5-10jt,6
95,53,P,5-10jt,1
96,25,L,1-3jt,3
97,22,P,1-3jt,5
98,41,P,1-3jt,0
99,34,P,5-10jt,3
100,21,P,3-5jt,6
101,34,P,3-5jt,1
102,43,L,5-10jt,3
103,23,P,3-5jt,5
104,60,P,5-10jt,4
105,55,L,1-3jt,6
106,40,L,5-10jt,3
107,42,P,1-3jt,3
108,33,L,1-3jt,2
109,36,L,1-3jt,2
110,18,P,3-5jt,5
111,17,P,1-3jt,0
112,42,L,5-10jt,5
113,57,L,1-3jt,3
114,35,P,3-5jt,3
115,24,L,1-3jt,0
116,54,P,3-5jt,1
117,43,P,1-3jt,4
118,19,L,1-3jt,5
119,21,P,5-10jt,6
120,29,L,3-5jt,5
121,42,P,1-3jt,6
122,18,L,5-10jt,6
123,36,P,1-3jt,5
124,56,L,5-10jt,1
125,57,L,3-5jt,2
126,53,L,5-10jt,1
127,42,L,5-10jt,6
128,35,L,5-10jt,1
129,59,L,3-5jt,5
130,59,L,3-5jt,3
131,35,L,3-5jt,3
132,19,L,5-10jt,5
133,28,L,3-5jt,6
134,18,L,1-3jt,0
135,51,P,3-5jt,6
136,35,P,1-3jt,3
137,18,L,5-10jt,5
138,40,L,1-3jt,0
139,53,L,3-5jt,2
140,17,P,3-5jt,1
141,22,P,5-10jt,3
142,60,P,5-10jt,5
143,41,P,5-10jt,3
144,21,L,5-10jt,0
145,31,P,5-10jt,4
146,35,L,5-10jt,6
147,58,P,5-10jt,5
148,26,L,5-10jt,1
149,42,L,5-10jt,1
150,51,P,5-10jt,1
151,60,P,3-5jt,4
152,30,P,3-5jt,1
153,29,L,3-5jt,3
154,41,L,3-5jt,1
155,20,P,5-10jt,4
156,37,L,3-5jt,6
157,24,L,1-3jt,5
158,30,L,1-3jt,2
159,45,L,5-10jt,6
160,21,P,1-3jt,3
161,39,P,1-3jt,2
162,45,P,5-10jt,2
163,29,P,1-3jt,6
164,49,L,3-5jt,2
165,42,P,5-10jt,5
166,20,L,1-3jt,4
167,36,L,3-5jt,2
168,49,L,5-10jt,5
169,36,L,1-3jt,3
170,57,L,5-10jt,0
171,60,L,5-10jt,2
172,45,L,3-5jt,3
173,50,L,1-3jt,5
174,32,P,3-5jt,0
175,32,L,3-5jt,5
176,25,P,1-3jt,2
177,57,P,5-10jt,2
178,26,P,5-10jt,3
179,28,L,1-3jt,5
180,38,L,5-10jt,3
181,39,L,3-5jt,0
182,20,L,3-5jt,6
183,40,P,5-10jt,3
184,21,P,1-3jt,2
185,50,P,5-10jt,2
186,46,P,1-3jt,1
187,41,P,3-5jt,2
188,45,L,3-5jt,1
189,45,P,1-3jt,6
190,54,L,5-10jt,1
191,26,P,5-10jt,6
192,57,P,1-3jt,2
193,30,P,3-5jt,4
194,22,P,3-5jt,6
195,45,P,5-10jt,5
196,39,L,3-5jt,0
197,27,L,5-10jt,1
198,52,L,5-10jt,3
199,33,L,5-10jt,5
200,17,L,5-10jt,4
201,36,L,3-5jt,5
202,21,L,1-3jt,2
203,57,L,1-3jt,5
204,22,P,5-10jt,1
205,44,L,1-3jt,5
206,41,L,3-5jt,2
207,60,L,3-5jt,0
208,24,L,3-5jt,4
209,46,P,3-5jt,4
210,20,L,3-5jt,3
211,17,P,5-10jt,0
212,52,P,1-3jt,3
213,55,L,1-3jt,4
214,25,P,5-10jt,5
215,37,L,5-10jt,1
216,52,P,3-5jt,6
217,56,P,5-10jt,6
218,56,P,5-10jt,6
219,27,L,3-5jt,2
220,40,P,1-3jt,0
221,49,P,1-3jt,5
222,35,P,5-10jt,1
223,19,P,1-3jt,4
224,55,L,5-10jt,0
225,40,P,3-5jt,0
226,39,L,3-5jt,0
227,54,P,1-3jt,6
228,37,P,5-10jt,5
229,36,P,3-5jt,0
230,29,L,1-3jt,5
231,57,P,1-3jt,1
232,36,L,3-5jt,2
233,26,P,3-5jt,6
234,26,P,5-10jt,2
235,45,P,1-3jt,3
236,39,P,3-5jt,6
237,36,L,3-5jt,1
238,25,L,1-3jt,0
239,28,L,1-3jt,1
240,28,L,5-10jt,4
241,33,L,3-5jt,0
242,36,P,1-3jt,5
243,41,L,1-3jt,0
244,25,L,3-5jt,6
245,24,L,5-10jt,5
246,60,L,3-5jt,2
247,44,P,1-3jt,6
248,22,P,5-10jt,2
249,44,P,3-5jt,4
250,32,L,5-10jt,5
251,59,L,3-5jt,5
252,32,P,3-5jt,3
253,59,P,1-3jt,6
254,52,L,3-5jt,2
255,48,L,1-3jt,0
256,37,P,1-3jt,0
257,55,P,3-5jt,0
258,59,L,3-5jt,6
259,28,P,5-10jt,1
260,23,L,3-5jt,4
261,58,L,5-10jt,5
262,52,L,5-10jt,0
263,53,P,1-3jt,5
264,21,L,5-10jt,1
265,44,L,5-10jt,3
266,33,P,5-10jt,4
267,35,L,5-10jt,2
268,32,L,5-10jt,2
269,45,P,3-5jt,2
270,25,L,5-10jt,0
271,19,P,5-10jt,3
272,23,L,5-10jt,3
273,35,P,3-5jt,1
274,34,L,3-5jt,0
275,30,L,3-5jt,4
276,20,L,5-10jt,4
277,35,L,5-10jt,2
278,52,P,5-10jt,2
279,54,P,5-10jt,6
280,35,L,1-3jt,4
281,19,L,1-3jt,5
282,36,P,3-5jt,5
283,55,L,1-3jt,2
284,46,L,3-5jt,1
285,55,P,5-10jt,2
286,44,P,3-5jt,0
287,35,P,5-10jt,5
288,48,L,1-3jt,4
289,40,P,3-5jt,4
290,24,P,3-5jt,2
291,37,L,3-5jt,4
292,36,L,5-10jt,1
293,43,P,3-5jt,6
294,31,P,1-3jt,1
295,39,L,1-3jt,4
296,24,L,5-10jt,4
297,56,L,1-3jt,0
298,17,L,3-5jt,4
299,29,L,3-5jt,1
300,57,P,3-5jt,3
301,42,P,1-3jt,0
302,20,P,5-10jt,6
303,59,L,3-5jt,2
304,53,P,5-10jt,1
305,60,P,5-10jt,4
306,46,L,1-3jt,4
307,20,P,3-5jt,4
308,24,P,3-5jt,4
309,22,P,3-5jt,6
310,37,L,3-5jt,4
311,30,P,1-3jt,5
312,45,L,3-5jt,3
313,45,L,1-3jt,4
314,35,P,3-5jt,1
315,53,P,1-3jt,0
316,60,P,5-10jt,5
317,23,P,3-5jt,4
318,36,P,3-5jt,6
319,22,L,5-10jt,2
320,52,L,1-3jt,3
321,17,L,5-10jt,2
322,22,P,5-10jt,6
323,17,P,1-3jt,3
324,49,L,5-10jt,3
325,30,P,3-5jt,1
326,55,L,3-5jt,0
327,34,P,1-3jt,5
328,35,L,3-5jt,6
329,48,P,3-5jt,6
330,51,P,5-10jt,5
331,56,L,1-3jt,1
332,43,L,5-10jt,6
333,58,L,3-5jt,5
334,50,L,1-3jt,6
335,58,L,3-5jt,5
336,25,P,5-10jt,3
337,21,P,3-5jt,0
338,19,L,1-3jt,6
339,33,L,3-5jt,2
340,41,P,5-10jt,5
341,23,L,3-5jt,0
342,17,P,1-3jt,3
343,22,L,3-5jt,0
344,45,L,1-3jt,5
345,31,L,5-10jt,3
346,37,L,1-3jt,2
347,32,P,1-3jt,0
348,57,L,5-10jt,4
349,28,P,3-5jt,0
350,50,P,1-3jt,3
351,34,P,3-5jt,1
352,54,L,5-10jt,5
353,40,L,1-3jt,6
354,31,L,5-10jt,6
355,34,L,3-5jt,2
356,28,L,1-3jt,1
357,57,L,5-10jt,1
358,44,L,1-3jt,2
359,46,L,5-10jt,1
360,22,L,5-10jt,3
361,48,P,1-3jt,3
362,34,P,5-10jt,0
363,57,L,3-5jt,6
364,26,L,1-3jt,4
365,26,L,1-3jt,0
366,31,L,3-5jt,5
367,18,P,1-3jt,6
368,49,L,5-10jt,1
369,20,P,5-10jt,3
370,37,L,1-3jt,0
371,27,L,5-10jt,3
372,49,P,1-3jt,0
373,60,L,1-3jt,6
374,29,P,3-5jt,2
375,55,L,5-10jt,3
376,29,L,1-3jt,2
377,20,P,3-5jt,6
378,23,P,5-10jt,5
379,38,P,5-10jt,4
380,57,P,5-10jt,4
381,36,L,5-10jt,2
382,57,L,3-5jt,2
383,52,P,1-3jt,3
384,19,L,5-10jt,4
385,48,L,5-10jt,4
386,50,L,3-5jt,4
387,51,P,3-5jt,6
388,24,L,1-3jt,2
389,58,L,3-5jt,4
390,44,P,3-5jt,0
391,57,L,3-5jt,5
392,23,L,1-3jt,4
393,34,P,1-3jt,5
394,46,L,3-5jt,0
395,52,L,1-3jt,6
396,37,L,1-3jt,4
397,26,L,1-3jt,6
398,57,P,1-3jt,1
399,43,L,5-10jt,0
400,26,P,5-10jt,5
401,49,P,1-3jt,3
402,28,P,1-3jt,5
403,17,P,1-3jt,5
404,45,L,1-3jt,1
405,52,P,3-5jt,5
406,34,L,1-3jt,3
407,48,P,3-5jt,4
408,52,L,1-3jt,3
409,19,L,5-10jt,1
410,60,P,1-3jt,6
411,20,L,5-10jt,5
412,43,P,5-10jt,3
413,45,P,5-10jt,2
414,25,L,1-3jt,3
415,17,L,1-3jt,6
416,32,P,3-5jt,5
417,60,L,5-10jt,6
418,31,L,5-10jt,4
419,27,L,3-5jt,2
420,36,L,3-5jt,5
421,31,P,1-3jt,5
422,53,P,5-10jt,0
423,22,L,5-10jt,3
424,52,L,5-10jt,2
425,45,L,1-3jt,5
426,54,L,1-3jt,1
427,38,L,1-3jt,4
428,51,P,1-3jt,6
429,39,P,5-10jt,4
430,56,L,5-10jt,4
431,47,P,3-5jt,5
432,59,L,1-3jt,6
433,30,L,1-3jt,0
434,58,P,1-3jt,3
435,51,P,3-5jt,6
436,20,L,1-3jt,6
437,38,P,5-10jt,1
438,44,P,5-10jt,1
439,29,P,5-10jt,2
440,28,P,3-5jt,4
441,21,L,5-10jt,3
442,59,P,1-3jt,4
443,21,P,1-3jt,5
444,48,L,1-3jt,5
445,44,L,1-3jt,5
446,59,L,1-3jt,5
447,57,P,5-10jt,2
448,34,P,1-3jt,3
449,39,L,5-10jt,5
450,42,P,3-5jt,1
451,31,L,3-5jt,3
452,30,L,3-5jt,3
453,30,P,3-5jt,1
454,53,L,5-10jt,5
455,40,P,3-5jt,3
456,49,P,1-3jt,5
457,39,P,1-3jt,2
458,20,P,5-10jt,1
459,21,L,5-10jt,0
460,58,P,5-10jt,3
461,47,L,5-10jt,1
462,56,L,1-3jt,0
463,43,L,1-3jt,5
464,43,P,3-5jt,4
465,59,L,3-5jt,5
466,52,L,1-3jt,4
467,36,L,1-3jt,0
468,60,P,5-10jt,6
469,53,L,1-3jt,3
470,36,P,3-5jt,6
471,49,L,3-5jt,5
472,28,P,5-10jt,4
473,29,L,1-3jt,0
474,40,L,1-3jt,2
475,37,P,1-3jt,2
476,34,L,1-3jt,1
477,33,L,3-5jt,4
478,58,P,3-5jt,2
479,56,P,1-3jt,6
480,25,P,1-3jt,2
481,50,L,1-3jt,1
482,39,P,1-3jt,0
483,37,P,5-10jt,3
484,38,P,3-5jt,1
485,29,P,1-3jt,2
486,43,P,5-10jt,6
487,43,L,5-10jt,4
488,18,P,1-3jt,4
489,21,L,3-5jt,1
490,59,L,5-10jt,2
491,51,L,1-3jt,4
492,37,P,1-3jt,5
493,48,P,1-3jt,4
494,18,P,1-3jt,0
495,50,P,3-5jt,0
496,38,P,5-10jt,0
497,17,P,5-10jt,5
498,48,L,3-5jt,1
499,39,P,3-5jt,4
500,17,L,1-3jt,1
501,19,L,3-5jt,3
502,38,L,1-3jt,2
503,60,P,5-10jt,5
504,24,L,5-10jt,6
505,37,P,3-5jt,0
506,32,L,3-5jt,0
507,18,P,1-3jt,6
508,26,L,3-5jt,0
509,35,P,5-10jt,6
510,57,P,5-10jt,3
511,53,L,3-5jt,4
512,31,P,3-5jt,6
513,53,L,5-10jt,1
514,22,P,1-3jt,2
515,47,L,3-5jt,2
516,49,P,3-5jt,3
517,57,P,3-5jt,3
518,31,P,1-3jt,6
519,25,P,3-5jt,2
520,39,L,1-3jt,6
521,41,P,3-5jt,2
522,42,P,3-5jt,3
523,60,L,3-5jt,6
524,42,P,1-3jt,0
525,42,P,5-10jt,2
526,28,L,5-10jt,2
527,28,P,5-10jt,6
528,59,L,5-10jt,4
529,48,P,3-5jt,1
530,25,P,3-5jt,4
531,34,P,1-3jt,2
532,21,L,5-10jt,2
533,32,L,5-10jt,6
534,31,P,5-10jt,0
535,31,P,1-3jt,6
536,25,P,1-3jt,4
537,46,L,5-10jt,1
538,46,L,5-10jt,1
539,42,L,3-5jt,0
540,46,P,3-5jt,1
541,45,L,3-5jt,1
542,58,L,5-10jt,4
543,59,P,3-5jt,2
544,35,P,1-3jt,2
545,43,L,5-10jt,3
546,56,P,5-10jt,5
547,27,P,3-5jt,1
548,24,L,3-5jt,3
549,51,P,3-5jt,6
550,57,P,5-10jt,6
551,30,L,1-3jt,1
552,32,P,5-10jt,2
553,47,P,5-10jt,3
554,23,P,5-10jt,5
555,54,L,1-3jt,2
556,28,L,5-10jt,2
557,25,P,5-10jt,4
558,52,P,3-5jt,6
559,44,L,1-3jt,3
560,59,P,3-5jt,6
561,59,P,3-5jt,3
562,17,P,3-5jt,2
563,31,P,3-5jt,3
564,36,P,1-3jt,3
565,30,P,3-5jt,4
566,50,L,3-5jt,6
567,43,L,1-3jt,4
568,44,L,5-10jt,0
569,59,L,3-5jt,0
570,23,P,3-5jt,5
571,52,P,3-5jt,3
572,17,L,3-5jt,3
573,21,L,3-5jt,2
574,57,L,5-10jt,5
575,26,P,1-3jt,0
576,42,L,1-3jt,2
577,40,L,5-10jt,3
578,56,P,5-10jt,4
579,46,L,1-3jt,1
580,20,L,5-10jt,4
581,44,P,3-5jt,2
582,24,P,3-5jt,5
583,32,L,3-5jt,3
584,58,L,1-3jt,1
585,38,P,3-5jt,5
586,57,P,3-5jt,4
587,21,L,1-3jt,5
588,28,L,5-10jt,6
589,51,L,1-3jt,0
590,34,P,5-10jt,0
591,40,P,1-3jt,6
592,47,L,1-3jt,3
593,54,L,1-3jt,4
594,17,L,5-10jt,2
595,40,L,3-5jt,0
596,19,P,1-3jt,2
597,40,P,5-10jt,1
598,53,P,3-5jt,4
599,46,L,5-10jt,4
600,26,P,1-3jt,2
601,37,L,1-3jt,1
602,37,P,5-10jt,0
603,34,L,1-3jt,3
604,42,L,1-3jt,2
605,50,P,1-3jt,5
606,25,P,3-5jt,3
607,39,L,3-5jt,0
608,27,L,1-3jt,4
609,20,L,1-3jt,4
610,39,L,5-10jt,5
611,41,P,3-5jt,5
612,36,L,5-10jt,3
613,54,P,5-10jt,3
614,31,P,3-5jt,2
615,19,P,3-5jt,2
616,56,L,3-5jt,1
617,47,L,3-5jt,0
618,46,P,5-10jt,5
619,59,P,5-10jt,5
620,17,L,1-3jt,1
621,37,L,5-10jt,5
622,56,P,1-3jt,5
623,48,L,1-3jt,1
624,36,P,5-10jt,1
625,35,L,5-10jt,4
626,57,L,5-10jt,6
627,46,P,3-5jt,0
628,25,L,1-3jt,6
629,49,P,3-5jt,3
630,58,L,3-5jt,5
631,34,P,5-10jt,0
632,51,L,3-5jt,5
633,39,P,3-5jt,5
634,51,L,5-10jt,3
635,54,P,1-3jt,1
636,29,L,3-5jt,4
637,29,L,5-10jt,0
638,36,L,1-3jt,0
639,51,P,1-3jt,0
640,46,L,1-3jt,1
641,55,P,5-10jt,5
642,57,P,3-5jt,0
643,19,L,1-3jt,0
644,33,P,3-5jt,6
645,49,P,1-3jt,5
646,59,L,5-10jt,1
647,18,P,5-10jt,5
648,36,L,5-10jt,4
649,57,L,3-5jt,1
650,60,P,3-5jt,0
651,31,P,1-3jt,4
652,28,L,5-10jt,6
653,51,P,1-3jt,3
654,23,P,5-10jt,1
655,27,P,3-5jt,5
656,33,L,5-10jt,2
657,33,L,3-5jt,2
658,53,P,5-10jt,4
659,43,L,5-10jt,0
660,43,L,5-10jt,2
661,33,P,3-5jt,1
662,46,L,3-5jt,6
663,48,L,1-3jt,0
664,53,L,1-3jt,3
665,41,L,3-5jt,0
666,25,P,1-3jt,5
667,55,P,3-5jt,1
668,19,P,3-5jt,2
669,44,P,1-3jt,6
670,22,L,1-3jt,5
671,56,L,3-5jt,5
672,47,P,1-3jt,4
673,34,P,1-3jt,5
674,53,L,3-5jt,5
675,49,P,1-3jt,5
676,37,P,5-10jt,6
677,31,L,5-10jt,0
678,39,P,1-3jt,0
679,57,P,3-5jt,3
680,49,L,1-3jt,5
681,56,L,1-3jt,6
682,23,L,3-5jt,2
683,27,L,5-10jt,5
684,25,L,3-5jt,4
685,54,L,3-5jt,2
686,19,L,5-10jt,0
687,50,P,5-10jt,2
688,57,P,3-5jt,4
689,37,P,5-10jt,3
690,17,P,5-10jt,0
691,21,L,5-10jt,6
692,33,P,5-10jt,1
693,36,P,3-5jt,1
694,29,L,5-10jt,2
695,51,P,5-10jt,4
696,57,P,5-10jt,5
697,55,P,5-10jt,0
698,41,L,1-3jt,3
699,22,L,1-3jt,3
700,38,P,1-3jt,1
701,41,P,1-3jt,5
702,42,P,1-3jt,5
703,34,L,5-10jt,5
704,31,P,5-10jt,4
705,21,L,3-5jt,2
706,49,L,1-3jt,4
707,27,P,1-3jt,0
708,57,L,3-5jt,3
709,59,P,3-5jt,3
710,56,L,1-3jt,2
711,48,L,1-3jt,0
712,47,P,5-10jt,3
713,20,P,3-5jt,3
714,46,P,3-5jt,4
715,44,L,1-3jt,4
716,52,L,5-10jt,6
717,44,P,5-10jt,4
718,54,L,1-3jt,6
719,23,L,1-3jt,4
720,27,L,5-10jt,6
721,45,P,1-3jt,4
722,44,L,5-10jt,3
723,20,L,3-5jt,1
724,55,P,1-3jt,4
725,21,P,3-5jt,3
726,54,P,3-5jt,0
727,58,P,1-3jt,4
728,31,L,3-5jt,3
729,30,P,5-10jt,5
730,19,P,1-3jt,1
731,46,L,5-10jt,2
732,58,P,1-3jt,3
733,51,P,1-3jt,6
734,38,L,1-3jt,5
735,33,P,1-3jt,0
736,48,L,3-5jt,0
737,29,L,1-3jt,2
738,17,L,3-5jt,6
739,17,P,1-3jt,6
740,20,P,3-5jt,0
741,26,P,5-10jt,0
742,27,L,1-3jt,0
743,42,L,1-3jt,0
744,46,P,3-5jt,0
745,39,L,5-10jt,5
746,32,P,3-5jt,0
747,25,P,1-3jt,5
748,22,P,5-10jt,6
749,50,P,3-5jt,5
750,49,P,5-10jt,0
751,22,P,3-5jt,3
752,43,L,5-10jt,1
753,35,L,1-3jt,0
754,53,L,1-3jt,1
755,53,P,5-10jt,0
756,42,L,5-10jt,1
757,60,P,5-10jt,2
758,43,P,3-5jt,0
759,30,P,3-5jt,4
760,33,L,1-3jt,0
761,24,P,5-10jt,0
762,40,P,1-3jt,4
763,40,L,5-10jt,0
764,28,P,1-3jt,1
765,34,P,1-3jt,6
766,52,L,5-10jt,6
767,29,P,3-5jt,6
768,54,P,3-5jt,6
769,43,L,1-3jt,1
770,43,P,3-5jt,1
771,22,P,1-3jt,4
772,58,P,3-5jt,5
773,55,P,3-5jt,5
774,20,P,3-5jt,3
775,25,P,1-3jt,0
776,50,L,3-5jt,3
777,18,L,5-10jt,6
778,52,P,3-5jt,6
779,24,P,1-3jt,6
780,23,P,1-3jt,2
781,59,P,1-3jt,6
782,51,P,1-3jt,0
783,59,P,3-5jt,3
784,44,P,5-10jt,6
785,22,P,5-10jt,6
786,29,P,3-5jt,5
787,31,P,3-5jt,3
788,60,P,1-3jt,0
789,37,L,3-5jt,3
790,35,L,5-10jt,3
791,44,P,1-3jt,4
792,25,L,5-10jt,4
793,28,L,3-5jt,3
794,55,L,3-5jt,6
795,53,P,3-5jt,2
796,17,L,5-10jt,6
797,32,P,1-3jt,6
798,47,P,1-3jt,1
799,26,L,5-10jt,3
800,19,L,3-5jt,6
801,21,P,5-10jt,6
802,20,P,5-10jt,4
803,17,L,3-5jt,3
804,60,L,5-10jt,5
805,48,L,3-5jt,5
806,56,L,5-10jt,0
807,46,L,5-10jt,4
808,60,L,1-3jt,3
809,35,L,5-10jt,0
810,41,P,1-3jt,0
811,34,L,1-3jt,1
812,24,P,5-10jt,4
813,31,P,1-3jt,2
814,40,P,3-5jt,4
815,24,L,3-5jt,6
816,35,P,3-5jt,1
817,50,P,1-3jt,2
818,21,P,3-5jt,0
819,41,L,3-5jt,2
820,31,L,3-5jt,0
821,39,P,3-5jt,6
822,24,L,5-10jt,5
823,55,P,1-3jt,4
824,21,L,5-10jt,4
825,41,L,5-10jt,5
826,18,L,3-5jt,3
827,37,P,5-10jt,0
828,17,L,3-5jt,1
829,26,P,1-3jt,2
830,38,L,5-10jt,5
831,28,L,5-10jt,4
832,24,P,3-5jt,3
833,27,P,3-5jt,5
834,27,L,1-3jt,3
835,47,L,5-10jt,5
836,58,L,3-5jt,0
837,32,L,1-3jt,3
838,59,P,1-3jt,3
839,57,L,1-3jt,1
840,18,P,1-3jt,4
841,31,P,1-3jt,5
842,51,P,1-3jt,0
843,46,L,3-5jt,1
844,51,P,3-5jt,0
845,21,P,1-3jt,4
846,59,L,5-10jt,2
847,19,P,3-5jt,3
848,19,L,3-5jt,6
849,59,P,3-5jt,4
850,24,P,3-5jt,0
851,43,L,1-3jt,0
852,37,L,5-10jt,6
853,35,P,1-3jt,5
854,27,L,1-3jt,1
855,40,L,3-5jt,2
856,60,L,5-10jt,5
857,35,P,3-5jt,0
858,27,P,1-3jt,0
859,44,L,5-10jt,4
860,45,P,1-3jt,0
861,50,P,3-5jt,4
862,34,L,3-5jt,1
863,47,P,5-10jt,5
864,26,P,1-3jt,0
865,46,P,5-10jt,0
866,33,L,1-3jt,5
867,46,P,5-10jt,1
868,24,P,3-5jt,5
869,25,P,1-3jt,1
870,32,P,3-5jt,2
871,50,P,5-10jt,3
872,27,L,3-5jt,6
873,44,L,3-5jt,1
874,22,L,1-3jt,4
875,43,P,5-10jt,1
876,59,P,5-10jt,5
877,59,P,3-5jt,0
878,19,P,5-10jt,5
879,35,P,5-10jt,2
880,33,L,3-5jt,6
881,36,P,3-5jt,2
882,55,L,3-5jt,1
883,55,L,3-5jt,2
884,59,P,5-10jt,0
885,30,L,3-5jt,3
886,52,L,3-5jt,2
887,43,L,3-5jt,2
888,47,P,1-3jt,4
889,57,P,5-10jt,1
890,57,P,1-3jt,4
891,54,P,5-10jt,4
892,28,L,5-10jt,5
893,52,L,3-5jt,5
894,41,P,3-5jt,3
895,28,L,1-3jt,5
896,55,P,3-5jt,4
897,50,L,1-3jt,2
898,54,P,5-10jt,4
899,34,L,5-10jt,1
900,43,P,3-5jt,4
901,29,P,1-3jt,5
902,29,P,3-5jt,0
903,40,L,1-3jt,6
904,29,L,3-5jt,4
905,26,L,3-5jt,0
906,49,L,3-5jt,2
907,54,L,1-3jt,0
908,27,L,1-3jt,4
909,56,P,1-3jt,4
910,27,P,3-5jt,0
911,47,P,5-10jt,2
912,18,P,1-3jt,4
913,24,P,5-10jt,5
914,43,P,3-5jt,5
915,32,P,3-5jt,4
916,20,L,1-3jt,6
917,43,P,3-5jt,3
918,59,P,3-5jt,1
919,47,P,3-5jt,4
920,49,L,1-3jt,6
921,27,L,1-3jt,1
922,57,P,3-5jt,5
923,27,L,3-5jt,3
924,50,L,3-5jt,6
925,57,P,5-10jt,1
926,59,P,3-5jt,6
927,27,P,1-3jt,0
928,30,P,5-10jt,0
929,27,P,1-3jt,5
930,20,L,1-3jt,6
931,20,L,1-3jt,5
932,54,L,5-10jt,2
933,50,P,1-3jt,5
934,36,L,5-10jt,4
935,42,P,5-10jt,0
936,30,L,1-3jt,2
937,17,L,1-3jt,2
938,33,L,3-5jt,3
939,54,P,1-3jt,2
940,56,P,3-5jt,5
941,40,L,1-3jt,1
942,21,L,5-10jt,4
943,41,L,5-10jt,5
944,53,P,3-5jt,5
945,27,P,1-3jt,4
946,18,P,1-3jt,1
947,46,L,3-5jt,5
948,22,L,3-5jt,4
949,20,P,5-10jt,5
950,52,L,5-10jt,4
951,52,P,3-5jt,6
952,22,P,1-3jt,1
953,40,L,3-5jt,0
954,18,L,1-3jt,0
955,36,P,5-10jt,3
956,34,P,5-10jt,6
957,28,L,5-10jt,5
958,55,L,1-3jt,5
959,24,L,1-3jt,6
960,37,P,5-10jt,5
961,52,L,3-5jt,5
962,23,L,1-3jt,1
963,35,L,5-10jt,4
964,29,P,3-5jt,1
965,24,L,5-10jt,2
966,44,L,3-5jt,4
967,56,P,3-5jt,4
968,36,L,5-10jt,2
969,45,L,5-10jt,5
970,41,L,3-5jt,3
971,40,P,1-3jt,5
972,56,P,5-10jt,4
973,43,P,5-10jt,4
974,42,L,3-5jt,4
975,21,P,5-10jt,4
976,46,L,3-5jt,5
977,57,L,1-3jt,4
978,17,L,3-5jt,3
979,59,P,5-10jt,4
980,17,L,5-10jt,1
981,18,P,5-10jt,5
982,24,P,5-10jt,5
983,27,L,1-3jt,0
984,33,L,1-3jt,3
985,49,P,3-5jt,4
986,22,P,5-10jt,6
987,36,L,1-3jt,4
988,18,L,1-3jt,6
989,36,P,5-10jt,6
990,27,P,3-5jt,5
991,33,P,1-3jt,0
992,28,L,1-3jt,4
993,17,L,1-3jt,4
994,27,L,5-10jt,3
995,40,P,1-3jt,2
